sender_id,receiver_id,timestamp,channel,message_count,duration_minutes,sentiment_score,topic,is_important,priority
EMP001,EMP002,2023-01-15T09:30:00,email,1,5,0.7,strategic_planning,1,high
EMP002,EMP006,2023-01-15T10:15:00,chat,3,15,0.6,sprint_planning,1,medium
EMP003,EMP008,2023-01-15T11:00:00,meeting,1,30,0.8,campaign_strategy,1,high
EMP004,EMP009,2023-01-15T11:30:00,video_call,1,45,0.5,sales_targets,1,high
EMP005,EMP010,2023-01-15T13:00:00,meeting,1,60,0.4,budget_review,1,high
EMP006,EMP011,2023-01-15T14:00:00,chat,5,10,0.8,code_review,0,medium
EMP006,EMP012,2023-01-15T14:30:00,chat,4,8,0.6,bug_fixes,0,medium
EMP007,EMP013,2023-01-15T15:00:00,chat,3,5,0.5,test_case_review,0,medium
EMP008,EMP014,2023-01-15T15:30:00,email,1,3,0.7,content_feedback,0,low
EMP009,EMP015,2023-01-15T16:00:00,video_call,1,20,0.8,client_meeting,1,high
EMP002,EMP001,2023-01-16T09:00:00,email,1,5,0.6,weekly_update,1,medium
EMP006,EMP002,2023-01-16T10:00:00,chat,2,5,0.4,technical_issue,1,high
EMP011,EMP006,2023-01-16T11:00:00,chat,3,8,0.5,implementation_question,0,medium
EMP013,EMP007,2023-01-16T11:30:00,email,1,2,0.6,test_results,0,low
EMP014,EMP008,2023-01-16T13:00:00,chat,2,4,0.7,content_ideas,0,medium